mrun,distancia,p_prioritario,simce_let,simce_mat,cod_nivel,prioridad_h,es_mujer,prioritario,alto_rendimiento,tipo,alt
9217523,17.4061,0,328,374,11,0,0,0,0,mun & no_conv,1
9217523,10.6186,0,254,302,11,0,0,0,0,no_mun & conv,0
9217523,12.393,0,256,302,11,0,0,0,0,mun & conv,0
9426431,42.8708,0.058824,285,333,7,0,1,1,0,no_muni & no_conv,0
9426431,41.9671,0.15185,304,323,7,0,1,1,0,mun & no_conv,0
9426431,43.0912,0,243,306,7,0,1,1,0,no_mun & conv,1
9426431,45.9962,0,550,550,7,0,1,1,0,mun & conv,0
9713492,5.2569,0,257,310,10,0,1,1,0,no_muni & no_conv,1
9713492,9.0165,0,304,323,10,0,1,1,0,mun & no_conv,0
9713492,0.55668,0,267,294,10,0,1,1,0,no_mun & conv,0
9713492,8.4601,0,219,255,10,0,1,1,0,mun & conv,0
9738925,1.245,0,550,550,7,1,0,1,1,no_muni & no_conv,0
9738925,15.1573,0.15333,328,374,7,1,0,1,1,mun & no_conv,0
9738925,5.0085,0,270,334,7,1,0,1,1,no_mun & conv,0
9738925,8.6002,0.15,292,337,7,1,0,1,1,mun & conv,1
10065463,1.3997,0,241,288,9,0,1,1,1,no_muni & no_conv,0
10065463,5.6754,0,304,323,9,0,1,1,1,mun & no_conv,0
10065463,2.9835,0.025,242,287,9,0,1,1,1,no_mun & conv,0
10065463,4.6317,0.016667,248,261,9,0,1,1,1,mun & conv,1
10102424,0.90161,0,270,293,8,1,0,1,0,no_muni & no_conv,0
10102424,1.4522,0,228,207,8,1,0,1,0,mun & no_conv,1
10102424,1.0465,0,243,242,8,1,0,1,0,no_mun & conv,0
10102424,28.0204,0,550,550,8,1,0,1,0,mun & conv,0
10125638,4.7871,0.088889,239,248,9,0,1,1,1,no_muni & no_conv,0
10125638,18.1535,0,328,374,9,0,1,1,1,mun & no_conv,0
10125638,0.82503,0,264,301,9,0,1,1,1,no_mun & conv,0
10125638,4.2072,0,329,383,9,0,1,1,1,mun & conv,1
10367913,1.345,0.15556,222,213,9,0,0,0,1,no_muni & no_conv,0
10367913,3.7979,0,297,313,9,0,0,0,1,mun & no_conv,0
10367913,1.4119,0.068571,230,193,9,0,0,0,1,no_mun & conv,1
10367913,2.8376,0.15,218,201,9,0,0,0,1,mun & conv,0
10393511,2.1811,0,245,234,7,0,0,0,0,no_muni & no_conv,0
10393511,1.6765,0.15556,262,259,7,0,0,0,0,mun & no_conv,1
10393511,0.75299,0,229,240,7,0,0,0,0,no_mun & conv,0
10393511,0.51367,0.058333,550,550,7,0,0,0,0,mun & conv,0
10439907,7.4169,0.15,250,271,9,0,1,1,1,no_muni & no_conv,1
10439907,16.414,0,328,374,9,0,1,1,1,mun & no_conv,0
10439907,11.1893,0.15,231,255,9,0,1,1,1,no_mun & conv,0
10439907,14.3126,0,292,315,9,0,1,1,1,mun & conv,0
10553515,0.72005,0,273,314,9,0,1,0,0,no_muni & no_conv,0
10553515,1.1376,0,287,330,9,0,1,0,0,mun & no_conv,1
10553515,1.2481,0,243,257,9,0,1,0,0,no_mun & conv,0
10553515,0.97305,0.15351,208,198,9,0,1,0,0,mun & conv,0
10570690,0.53204,0,252,298,3,0,1,1,0,no_muni & no_conv,1
10570690,1.1258,0,219,213,3,0,1,1,0,mun & no_conv,0
10570690,1.2818,0,260,302,3,0,1,1,0,no_mun & conv,0
10570690,5.7008,0,550,550,3,0,1,1,0,mun & conv,0
10624760,17.4299,0,234,254,10,0,1,1,0,no_muni & no_conv,0
10624760,17.2427,0,304,323,10,0,1,1,0,mun & no_conv,0
10624760,2.952,0,241,221,10,0,1,1,0,no_mun & conv,0
10624760,19.1489,0,265,292,10,0,1,1,0,mun & conv,1
10626733,17.8464,0.11429,229,246,9,0,1,0,0,no_muni & no_conv,0
10626733,16.8968,0,304,323,9,0,1,0,0,mun & no_conv,0
10626733,18.6883,0.022222,226,242,9,0,1,0,0,no_mun & conv,1
10626733,18.8452,0,265,292,9,0,1,0,0,mun & conv,0
10674907,14.8021,0.044444,234,254,9,0,1,1,1,no_muni & no_conv,0
10674907,3.6959,0,287,330,9,0,1,1,1,mun & no_conv,1
10674907,16.3978,0.15,231,255,9,0,1,1,1,no_mun & conv,0
10674907,0.39834,0,235,209,9,0,1,1,1,mun & conv,0
10751288,2.4733,0.15517,246,243,9,0,1,1,0,no_muni & no_conv,0
10751288,1.1466,0,287,330,9,0,1,1,0,mun & no_conv,0
10751288,3.8499,0,220,235,9,0,1,1,0,no_mun & conv,1
10751288,0.97848,0.15351,208,198,9,0,1,1,0,mun & conv,0
